id,property_description,area_jhb,listing_agency,rental_amount,street_address,occupation_date,Bedrooms_1,Bedrooms_2,bathrooms,area,Feature_1,Feature_2
20190553,"R 8 500 Scott Street, Melrose 1 Bedroom Apartment / Flat to Rent in Melrose Very upmarket and stylish fully furnished townhouse featuring 1 bedroom and full bathroom. There is an open ... Available: 09 April 2019 1 | 1 Floor Size: 58 m²",1 Bedroom Apartment / flat to rent in Melrose - Johannesburg, Knightbridge Properties,R 8 500,"Scott Street, Melrose",Available: 09 April 2019,Beds,1,1,58 m²,1 Bedroom Apartment / Flat to Rent in Melrose,
20190554,"R 3 600 Robin Court, Bouquet Street, Rosettenville 2 Bedroom Apartment / Flat to Rent in Rosettenville This is a two-bedroom, single bathroom apartment that is available for rent in the Rosettenville area. The remainder of the apartment contains a kitchen and a ... 2 | 1 Floor Size: 65 m²",2 Bedroom Apartment / flat to rent in Rosettenville - Johannesburg, Landstar Property Solutions,R 3 600,"Robin Court, Bouquet Street, Rosettenville",,Beds,2,2 | 1, Floor Size: 65 m²,2 Bedroom Apartment / Flat to Rent in Rosettenville,65 m²
20190555,"R 5 500 1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Johannesburg Central 2 Bedroom Apartment / Flat to Rent in Johannesburg Central Newly Built Units, Highly Enhanced Security System, Best of Johannesburg South Brand New Units 2 Bed, 1 Bath ... Available: 01 May 2019 2 | 1 Floor Size: 45 m²",2 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, 2LetNow - JHB,R 5 500,"1 Paul Road, Corner Tamboti Street Alveda Park johannesburg South 2091, Johannesburg Central",Available: 01 May 2019,Beds,2,1,45 m²,2 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20190556,"R 15 500 37 Pretoria Ave, Oaklands 2 Bedroom Apartment / Flat to Rent in Oaklands OAKLANDS Marbella UNFURNISHED Apartment 2 Bedrooms 2.5 Bathrooms 3 covered parking Open Plan ... Available: 10 April 2019 2 | 2.5 | 1 Floor Size: 200 m²",2 Bedroom Apartment / flat to rent in Oaklands - Johannesburg, You Realty,R 15 500,"37 Pretoria Ave, Oaklands",Available: 10 April 2019,Beds,2,2.5,200 m²,2 Bedroom Apartment / Flat to Rent in Oaklands,
20190557,"R 7 000 5 Kumari, 22 Crozier Street, Townsview 3 Bedroom Townhouse to Rent in Townsview This duplex unit is situated in a quiet street bordering Oakdene and offers convenient location which is close to amenities. In this small score complex, you ... 3 | 2 | 1",3 Bedroom Townhouse to rent in Townsview - Johannesburg, Begrand Property,R 7 000,"5 Kumari, 22 Crozier Street, Townsview",,Beds,3,3 | 2 | 1, ,3 Bedroom Townhouse to Rent in Townsview,
20190558,"R 17 000 C/o Jan Smuts and Kent Rd, Dunkeld West 3 Bedroom Apartment / Flat to Rent in Dunkeld West This is a lovely, unfurnished first floor apartment in the best location in a well run complex. The ... Available: 01 May 2019 3 | 2 | 2", Beds, Bathrooms,,, ,2,,,,Available: 01 May 2019,
20190559,"R 4 100 1 Bedroom Apartment / Flat to Rent in Berea Well maintained, secured and safe building. Amenities close by are primary and high schools, local shops ... Available: 01 May 2019 1 | 1 Floor Size: 60 m²",1 Bedroom Apartment / flat to rent in Berea - Johannesburg, Trafalgar Property Management,R 4 100,,Available: 01 May 2019,Beds,1,1,60 m²,1 Bedroom Apartment / Flat to Rent in Berea,
20190560,"R 6 000 Unit 48 Glenville Mews, 450 Rifle Range Road, Towerby 2 Bedroom Townhouse to Rent in Towerby Neat two-bedroom, single full bathroom upstairs townhouse available for rent as from 1 May. Unit has a neat ... Available: 01 May 2019 2 | 1 Erf Size: 9 702 m²",2 Bedroom Townhouse to rent in Towerby - Johannesburg, Allegiance Properties - JHB South,R 6 000,"Unit 48 Glenville Mews, 450 Rifle Range Road, Towerby",Available: 01 May 2019,Beds,2,1,9 702 m²,2 Bedroom Townhouse to Rent in Towerby,
20190561,R 13 000 2 Bedroom Apartment / Flat to Rent in Craighall Park Available immediately. This newly renovated apartment boasts a modern kitchen and bathrooms with large bedrooms and living area. Balconies look onto the lush ... 2 | 2 Erf Size: 115 m²,2 Bedroom Apartment / flat to rent in Craighall Park - Johannesburg, Pam Golding Properties - Hyde Park Letting,R 13 000,,,Beds,2,2 | 2, Erf Size: 115 m²,2 Bedroom Apartment / Flat to Rent in Craighall Park,115 m²
20190562,"R 6 350 1 Tamboti Street , Bassonia 2 Bedroom Apartment / Flat to Rent in Bassonia Stunning apartment in impeccably maintained Estate Move in with a 50% deposit Spacious living areas ... Available: 01 May 2019 2 | 1 Floor Size: 56 m²",2 Bedroom Apartment / flat to rent in Bassonia - Johannesburg, 2LetNow - JHB,R 6 350,"1 Tamboti Street , Bassonia",Available: 01 May 2019,Beds,2,1,56 m²,2 Bedroom Apartment / Flat to Rent in Bassonia,
20190563,R 3 100 Apartment / Flat to Rent in Berea This spacious room has all the near finishes in a safe and secure building The unit is your key for ... Available: 01 May 2019 1 Floor Size: 30 m², Trafalgar Property Management, Bathrooms, , ,,,30 m²,,,Available: 01 May 2019,
20190564,"R 7 500 63 Shamwari, 40 Rooigras Avenue, Bassonia 2 Bedroom Townhouse to Rent in Bassonia An Upmarket duplex is for sale in the sought after suburb of Bassonia, Johannesburg South. Get this Spacious ... Available: 01 April 2019 2 | 1 Erf Size: 22 870 m²",2 Bedroom Townhouse to rent in Bassonia - Johannesburg, Lencar Exclusive Properties,R 7 500,"63 Shamwari, 40 Rooigras Avenue, Bassonia",Available: 01 April 2019,Beds,2,1,22 870 m²,2 Bedroom Townhouse to Rent in Bassonia,
20190565,"R 3 900 112 Pritchard, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central No deposit needed!!! Fashion lofts Situated in the hub of Johannesburg, this is a clean and well looked ... Available: 01 May 2019 1 | 1",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, IHS Property Management,R 3 900,"112 Pritchard, Johannesburg Central",Available: 01 May 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20190566,"R 25 000 35 Meyer, Oaklands 3 Bedroom Townhouse to Rent in Oaklands Unfurnished modern stand alone duplex townhouse is conveniently located in the up market suburb in Oaklands. ... Available: 01 April 2019 3 | 2.5 | 2 Floor Size: 210 m²", Beds, Bathrooms,,, ,2.5,210 m²,,,Available: 01 April 2019,
20190567,R 8 000 1 Bedroom Apartment / Flat to Rent in Newtown Modern city apartment with lovely views and located convenient to transit modes. Gautrauin bus -Modern ... Available: 14 April 2019 1 | 1 Floor Size: 65 m², Beds, Bathrooms,,, ,1,65 m²,,,Available: 14 April 2019,
20190568,"R 11 000 63 Oxford Road, Saxonwold 1 Bedroom Apartment / Flat to Rent in Saxonwold SAXONWOLD Oxford Mews FURNISHED Ground Floor Apartment 1 bedroom 1 bathroom 1 garage Open plan Complex ... Available: 10 April 2019 1 | 1 | 1 Floor Size: 60 m²",1 Bedroom Apartment / flat to rent in Saxonwold - Johannesburg, You Realty,R 11 000,"63 Oxford Road, Saxonwold",Available: 10 April 2019,Beds,1,1,60 m²,1 Bedroom Apartment / Flat to Rent in Saxonwold,
20190569,"R 16 000 36 5th St, Killarney 1 Bedroom Apartment / Flat to Rent in Killarney Large Lounge - Dining room, 2 bathrooms and 3 bedrooms. Enclosed Balcony/sunroom and staff room on top ... Available: 09 April 2019 1 | 1 | 1 Floor Size: 170 m²",1 Bedroom Apartment / flat to rent in Killarney - Johannesburg, Rental,R 16 000,"36 5th St, Killarney",Available: 09 April 2019,Beds,1,1,170 m²,1 Bedroom Apartment / Flat to Rent in Killarney,
20190570,"R 11 500 15 8th Street, Houghton Estate 1 Bedroom Apartment / Flat to Rent in Houghton Estate This apartment is situated on the first floor close to the communal swimming pool. Modern Open plan kitchen ... Available: 01 April 2019 1 | 1 | 1 Floor Size: 59 m²",1 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Seeff Sandton,R 11 500,"15 8th Street, Houghton Estate",Available: 01 April 2019,Beds,1,1,59 m²,1 Bedroom Apartment / Flat to Rent in Houghton Estate,
20190571,"R 6 350 1 Tamboti Street , Kibler Park 2 Bedroom Apartment / Flat to Rent in Kibler Park Step in and be surprised! PLUS enjoy our deposit lay-by special, call to find out how. Spacious living areas ... Available: 01 May 2019 2 | 1 Floor Size: 56 m²",2 Bedroom Apartment / flat to rent in Kibler Park - Johannesburg, 2LetNow - JHB,R 6 350,"1 Tamboti Street , Kibler Park",Available: 01 May 2019,Beds,2,1,56 m²,2 Bedroom Apartment / Flat to Rent in Kibler Park,
20190572,"R 11 500 4 Main Avenue, Killarney 2 Bedroom Apartment / Flat to Rent in Killarney Open plan kitchen with granite tops and plenty cupboard space. Spacious lounge and dining room with beautiful ... Available: 05 April 2019 2 | 2 Floor Size: 76 m²",2 Bedroom Apartment / flat to rent in Killarney - Johannesburg, Silver Property Group,R 11 500,"4 Main Avenue, Killarney",Available: 05 April 2019,Beds,2,2,76 m²,2 Bedroom Apartment / Flat to Rent in Killarney,
20190573,"R 10 500 40 Jellicoe Ave, Melrose 3 Bedroom Townhouse to Rent in Melrose MELROSE R10 500,00 plus Utilities Approx. R3300,00 40 Jellicoe Opposite St. Vincent's School Near ... Available: 11 April 2019 3 | 2 | 2",3 Bedroom Townhouse to rent in Melrose - Johannesburg, You Realty,R 10 500,"40 Jellicoe Ave, Melrose",Available: 11 April 2019,Beds,3,2,,3 Bedroom Townhouse to Rent in Melrose,
20190574,"R 7 000 George Avenue, Glensan 1 Bedroom Townhouse to Rent in Glensan NEAT 2ND FLOOR UNIT Open plan lounge/kitchen area and spacious bedroom with en-suite bathroom. Hazelwood is centrally located in Glensan, close to highways ... 1 | 1 Floor Size: 53 m²",1 Bedroom Townhouse to rent in Glensan - Johannesburg, Leapfrog JHB North East,R 7 000,"George Avenue, Glensan",,Beds,1,1 | 1, Floor Size: 53 m²,1 Bedroom Townhouse to Rent in Glensan,53 m²
20190575,"R 4 200 Rivolea Court, 6 Kenmere Road, Yeoville, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central Spacious and comfortable 1 bedroom apartments available from the well-maintained Rivlolea Court, located in the bustling Yeovill, JHB CBD. The units feature ... 1 | 1 Floor Size: 55 m²", Beds, Bathrooms,,, ,1 | 1, Floor Size: 55 m²,  ,55 m²,,
20190576,"R 10 486 2 Bedroom Apartment / Flat to Rent in Braamfontein Spacious north facing 2 bedroom apartment at the Exchange lofts, Braamfontein The Exchange lofts: ... Available: 15 April 2019 2 | 1 Floor Size: 100 m²", Beds, Bathrooms,,, ,1,100 m²,,,Available: 15 April 2019,
20190577,"R 6 600 13 Villa Luso, 16 Bosvliers Street, Winchester Hills 2 Bedroom Townhouse to Rent in Winchester Hills Massive 2 bedroom, 1 full bathroom upstairs penthouse with balcony area with stunning views! Penthouse is ... Available: 01 June 2019 2 | 1 Erf Size: 2 706 m²",2 Bedroom Townhouse to rent in Winchester Hills - Johannesburg, Lencar Exclusive Properties,R 6 600,"13 Villa Luso, 16 Bosvliers Street, Winchester Hills",Available: 01 June 2019,Beds,2,1,2 706 m²,2 Bedroom Townhouse to Rent in Winchester Hills,
20190578,"R 5 800 649 Milpark Mews, Corner Empire and Braamfontein Werf, Braamfontein Werf 1 Bedroom Apartment / Flat to Rent in Braamfontein Werf Secure apartment building with excellent security. Basement parking at a monthly cost. Semi furnished unit ... Available: 01 May 2019 1 | 1 Floor Size: 41 m²", Beds, Bathrooms,,, ,1,41 m²,,,Available: 01 May 2019,
20190579,"R 4 200 Rivolea Court, 6 Kenmere Road, Yeoville, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central Spacious and comfortable 1 bedroom apartments available from the well-maintained Rivlolea Court, located in the bustling Yeovill, JHB CBD. The units feature ... 1 | 1 Floor Size: 55 m²", Beds, Bathrooms,,, ,1 | 1, Floor Size: 55 m²,  ,55 m²,,
20190580,"R 4 500 Linmeyer, Linmeyer 1 Bedroom Apartment / Flat to Rent in Linmeyer 1 spacious bedroom apartment to let in Linmeyer close to The Glen Mall and Comaro Shopping Center. The ... Available: 12 April 2019 1", ,  ,1 Bedroom Apartment / Flat to Rent in Linmeyer,1 spacious bedroom apartment to let in Linmeyer close to The Glen Mall and Comaro Shopping Center. The ...,,,,,, ,
20190581,"R 5 400 2 Bedroom Apartment / Flat to Rent in Hillbrow Newly Renovated Building, located in Hillbrow. Close to all public transport. Building is well managed and ... Available: 01 May 2019 2 | 1 | 1 Floor Size: 60 m²",2 Bedroom Apartment / flat to rent in Hillbrow - Johannesburg, Trafalgar Property Management,R 5 400,,Available: 01 May 2019,Beds,2,1,60 m²,2 Bedroom Apartment / Flat to Rent in Hillbrow,
20190582,"R 6 350 1 Tamboti Street , Ormonde 2 Bedroom Apartment / Flat to Rent in Ormonde IMMEDIATE OCCUPATION PAY YOUR DEPOSIT IN 2 INSTALLMENTS Brand New Units 2 Bed, 1 Bath Apartment to rent in Route 82 OFFERING YOU: • 24 Hour Security and ... 2 | 1 Floor Size: 56 m²",2 Bedroom Apartment / flat to rent in Ormonde - Johannesburg, 2LetNow - JHB,R 6 350,"1 Tamboti Street , Ormonde",,Beds,2,2 | 1, Floor Size: 56 m²,2 Bedroom Apartment / Flat to Rent in Ormonde,56 m²
20190583,"R 6 100 4 Paul Street, Glenvista 2 Bedroom Apartment / Flat to Rent in Glenvista • 2 Bedroom, 1 bathroom Security • 24-hour security with patrolling guards and guard-house • 2.1m ... Available: 01 May 2019 2 | 1 Floor Size: 51 m²",2 Bedroom Apartment / flat to rent in Glenvista - Johannesburg, 2LetNow - JHB,R 6 100,"4 Paul Street, Glenvista",Available: 01 May 2019,Beds,2,1,51 m²,2 Bedroom Apartment / Flat to Rent in Glenvista,
20190584,"R 7 500 2 Wellington Rd, Parktown 1 Bedroom Apartment / Flat to Rent in Parktown 1 bedroom Flat to let at Parktown Mansions, 2 Wellington Road, Parktown, next to Parktown Boys High /opposite ... Available: 01 April 2019 1 | 1 | 1 Floor Size: 88 m²",1 Bedroom Apartment / flat to rent in Parktown - Johannesburg, Rental,R 7 500,"2 Wellington Rd, Parktown",Available: 01 April 2019,Beds,1,1,88 m²,1 Bedroom Apartment / Flat to Rent in Parktown,
20190585,R 21 500 3 Bedroom Townhouse to Rent in Craighall Double storey cluster. This home offers three well sized bedrooms upstairs that all lead onto the balcony. A large light and bright open plan living area on ... 3 | 2 | 2,3 Bedroom Townhouse to rent in Craighall - Johannesburg, CP Inc Realtors,R 21 500,,,Beds,3,3 | 2 | 2, ,3 Bedroom Townhouse to Rent in Craighall,
20190586,"R 5 850 1 Paul Street, South Hills 2 Bedroom Apartment / Flat to Rent in South Hills Stunning New 2 Bed Apartment near Naturena Hurry to secure your brand-new unit! - Conveniently located just ... Available: 04 April 2019 2 | 1 Floor Size: 51 m²",2 Bedroom Apartment / flat to rent in South Hills - Johannesburg, 2LetNow - JHB,R 5 850,"1 Paul Street, South Hills",Available: 04 April 2019,Beds,2,1,51 m²,2 Bedroom Apartment / Flat to Rent in South Hills,
20190587,"R 9 000 Unit 4, 376 On Devereaux , Winchester Hills 3 Bedroom Townhouse to Rent in Winchester Hills Brand new 3 bedroom, 2 bathroom unit with magnificent views and private garden in the tranquil residential ... Available: 01 April 2019 3 | 2 Erf Size: 10 834 m²",3 Bedroom Townhouse to rent in Winchester Hills - Johannesburg, Allegiance Properties - JHB South,R 9 000,"Unit 4, 376 On Devereaux , Winchester Hills",Available: 01 April 2019,Beds,3,2,10 834 m²,3 Bedroom Townhouse to Rent in Winchester Hills,
20190588,"R 14 000 12 Crystal Court, 57 Swartgoud Street, Suideroord 3 Bedroom Townhouse to Rent in Suideroord 3 Bedroom, 2 Bathroom Cluster with Garage, situated in an upmarket secure complex on a quiet street. Main ... Available: 01 April 2019 3 | 2 | 1 Erf Size: 23 355 m²",3 Bedroom Townhouse to rent in Suideroord - Johannesburg, Lencar Exclusive Properties,R 14 000,"12 Crystal Court, 57 Swartgoud Street, Suideroord",Available: 01 April 2019,Beds,3,2,23 355 m²,3 Bedroom Townhouse to Rent in Suideroord,
20190589,"R 5 500 2 Bedroom Apartment / Flat to Rent in Joubert Park Make this two bedroom flat your home, FIRST MONTH RENTAL FREE. Dont delay viewing your new home Lock up and ... Available: 01 May 2019 2 | 1 Floor Size: 80 m²",2 Bedroom Apartment / flat to rent in Joubert Park - Johannesburg, Trafalgar Property Management,R 5 500,,Available: 01 May 2019,Beds,2,1,80 m²,2 Bedroom Apartment / Flat to Rent in Joubert Park,
20190590,"R 15 900 1 Tottenham Avenue, Melrose 2 Bedroom Apartment / Flat to Rent in Melrose Spacious furnished loft style flat in sought after Melrose Court. Light, north facing, tall windows. High ... Available: 15 April 2019 2 | 1 | 2 Floor Size: 116 m²", Beds, Bathrooms,,, ,1,116 m²,,,Available: 15 April 2019,
20190591,R 5 160 1 Bedroom Apartment / Flat to Rent in Berea 2 Bedroom Unit in secure building with 24hr security. Child friendly and easy access to public transport. ... Available: 01 May 2019 1 | 1 | 1 Floor Size: 97 m²,1 Bedroom Apartment / flat to rent in Berea - Johannesburg, Trafalgar Property Management,R 5 160,,Available: 01 May 2019,Beds,1,1,97 m²,1 Bedroom Apartment / Flat to Rent in Berea,
20190592,R 3 400 Apartment / Flat to Rent in Hillbrow An amazing bachelor unit with lots of character to turn into a unique home. If you are looking for old charm ... Available: 01 May 2019 1 | 1 Floor Size: 30 m², Trafalgar Property Management, Bathrooms, , ,,1,30 m²,,,Available: 01 May 2019,
20190593,"R 8 800 341 Jan Smuts Avenue, Craighall Park 2 Bedroom Apartment / Flat to Rent in Craighall Park Safe, secure and spacious flat to rent at Hyde Park Heights, 122 square metres. This is an older building ... Available: 10 March 2019 2 | 1.5 Floor Size: 122 m²",2 Bedroom Apartment / flat to rent in Craighall Park - Johannesburg, Property.CoZa - Randburg,R 8 800,"341 Jan Smuts Avenue, Craighall Park",Available: 10 March 2019,Beds,2,1.5,122 m²,2 Bedroom Apartment / Flat to Rent in Craighall Park,
20190594,"R 20 000 34 Portman Place, Cnr Oxford & Melrose Streets, Melrose, Johannesburg, Melrose 3 Bedroom Apartment / Flat to Rent in Melrose Spacious/bright North-facing apartment close to all essential amenities - shops/restaurants/5 minute walk to ... Available: 01 March 2019 3 | 2 | 2 Floor Size: 129 m²",3 Bedroom Apartment / flat to rent in Melrose - Johannesburg, Rental,R 20 000,"34 Portman Place, Cnr Oxford & Melrose Streets, Melrose, Johannesburg, Melrose",Available: 01 March 2019,Beds,3,2,129 m²,3 Bedroom Apartment / Flat to Rent in Melrose,
